POST,GROUP_ID,GROUP_TIME,SLICE_TIME
AcceptCallAction_unmarshall,10_28/000,6340.428571,8665
InformationItem_not_instantiable,10_28/000,6340.428571,8283
ObjectFlow_is_multicast_or_is_multireceive,10_28/000,6340.428571,8261
Parameter_stream_and_exception,10_28/000,6340.428571,7871
FinalState_no_regions,10_28/000,6340.428571,9209
Reception_same_name_as_signal,10_28/000,6340.428571,10755
State_submachine_or_regions,10_28/000,6340.428571,10489
ActivityParameterNode_has_parameters,10_28/001,180000,17710
ActivityParameterNode_no_edges,10_28/001,180000,9099
DecisionNode_decision_input_flow_incoming,10_28/001,180000,14336
Extend_extension_points,10_28/001,180000,35007
FinalState_no_outgoing_transitions,10_28/002,4521.5,9802
ForkNode_one_incoming_edge,10_28/002,4521.5,9369
InitialNode_no_incoming_edges,10_28/002,4521.5,9087
InitialNode_control_edges,10_28/002,4521.5,9606
JoinNode_one_outgoing_edge,10_28/002,4521.5,9615
MergeNode_one_outgoing_edge,10_28/002,4521.5,9612
Property_derived_union_is_read_only,10_28/003,5361.75,10798
Property_derived_union_is_derived,10_28/003,5361.75,11250
Property_subsetted_property_names,10_28/003,5361.75,11304
ValuePin_no_incoming_edges,10_28/003,5361.75,9483
State_submachine_states,10_28/004,9477.333333,11727
State_composite_states,10_28/004,9477.333333,11710
AcceptEventAction_no_output_pins,10_28/004,9477.333333,10286
CallAction_synchronous_call,10_28/005,10862,13167
ConditionalNode_no_input_pins,10_28/005,10862,10693
Pin_control_pins,10_28/005,10862,13351
Pin_not_unique,10_28/005,10862,12851
Enumeration_immutable,10_28/006,12395.66667,12075
Extension_is_binary,10_28/006,12395.66667,10632
FinalNode_no_outgoing_edges,10_28/006,12395.66667,10893
AcceptEventAction_no_input_pins,10_28/007,0,0
Node_internal_structure,10_28/008,0,0
State_destinations_or_sources_of_transitions,10_28/009,0,0
ExecutionSpecification_same_lifeline,10_28/010,0,0
StructuralFeatureAction_not_static,10_28/011,0,0
BehavioralFeature_abstract_no_method,10_28/012,0,0
InformationItem_has_no,10_28/013,0,0
ReadLinkObjectEndAction_ends_of_association,10_28/014,0,0
LinkAction_not_static,10_28/015,0,0
StringExpression_operands,10_28/016,0,0
Behavior_feature_of_context_classifier,10_28/017,0,0
CommunicationPath_association_ends,10_28/018,0,0
Component_no_nested_classifiers,10_28/019,0,0
ClassifierTemplateParameter_has_constraining_classifier,10_28/020,0,0
CreateObjectAction_classifier_not_abstract,10_28/021,0,0
CreateObjectAction_classifier_not_association_class,10_28/022,0,0
InformationFlow_convey_classifiers,10_28/023,0,0
ActionInputPin_one_output_pin,10_28/024,0,0
ActionInputPin_input_pin,10_28/025,0,0
AcceptCallAction_unmarshall,11_30/000,8582,8665
InformationItem_not_instantiable,11_30/000,8582,8283
ObjectFlow_is_multicast_or_is_multireceive,11_30/000,8582,8261
Parameter_stream_and_exception,11_30/000,8582,7871
FinalState_no_regions,11_30/000,8582,9209
Reception_same_name_as_signal,11_30/000,8582,10755
State_submachine_or_regions,11_30/000,8582,10489
State_composite_states,11_30/000,8582,11710
ActivityParameterNode_has_parameters,11_30/001,180000,17710
ActivityParameterNode_no_edges,11_30/001,180000,9099
DecisionNode_decision_input_flow_incoming,11_30/001,180000,14336
Extend_extension_points,11_30/001,180000,35007
