ID,TOTAL_TIME,MAX
1,8474,8474
2,16991,8711
3,29658,11088
4,36393,9574
5,53711,12550
6,71203,13761
7,104511,22611
8,125634,24770
9,139934,19828
10,152730,19625
11,190460,31377
12,211275,40709
13,288867,47359
14,405994,69000
15,503539,73399
16,821640,101530
17,1113741,116971
18,1445307,188742
19,1653149,189437
20,1973361,189211
21,2140902,189933
22,2313980,189656
23,2533321,188364
24,2806069,190895
25,3230886,190126
26,3563966,190837
27,3795025,190402
28,3895192,190273
29,4294122,190427
30,4511847,190597
31,4690857,190402
32,5082458,190397
33,5533417,191473
34,6047126,193160
35,6233477,191211
36,6410590,194013
37,6598943,195847
38,6838734,193255
39,6991104,194219
40,7135353,192778
41,7342384,193109
42,7471017,193690
43,7640514,192485
44,7831608,194097
45,8049928,192355
46,8274215,198805
47,8493194,203499
48,8716309,210705
49,8830623,197155
50,9046637,195040
