ID,TOTAL_TIME,MAX
1,7871,7871
2,16132,8261
3,24415,8283
4,33080,8665
5,42167,9087
6,51266,9099
7,60475,9209
8,69844,9369
9,79327,9483
10,88933,9606
11,98545,9612
12,108160,9615
13,117962,9802
14,128248,10286
15,138737,10489
16,149369,10632
17,160062,10693
18,170817,10755
19,181615,10798
20,192508,10893
21,203758,11250
22,215062,11304
23,226772,11710
24,238499,11727
25,250268,11769
26,262343,12075
27,275194,12851
28,288337,13143
29,301504,13167
30,314855,13351
31,329191,14336
32,346901,17710
33,366141,19240
34,390511,24370
35,425301,34790
36,460308,35007
37,506969,46661
38,559046,52077
39,611212,52166
40,672154,60942
41,742743,70589
42,828865,86122
43,924303,95438
44,1027836,103533
45,1172269,144433
46,1344657,172388
47,1524657,180000
48,1704657,180000
49,1884657,180000
50,2064657,180000
